title,link,artist,year,classification,related_location,medium,dimensions,credit_line,copyright_status,cleaned_year,continent,country
La Casa Grande,https://marble.nd.edu/item/2010.011.015.002,Emilio Snchez Cuban 1921 1999,1997-1998,Prints,,Black and white lithograph on paper,30 1/2 x 30 in. (77.47 x 76.2 cm),Gift of the Emilio Sanchez Foundation,Copyright,1997,,
Spool,https://marble.nd.edu/item/2011.005,John Bisbee American b 1965,1992,"Tools, Implements, and Weights",,Welded four-inch brads,56 x 55 x 29 in. (142.24 x 139.7 x 73.66 cm),"Mr. and Mrs. Robert S. Nanovic, ND ’54 B.S. Fund",Copyright,1992,,
Pipe Tomahawk,https://marble.nd.edu/item/2012.026.006,Unrecorded artist,1800s,Arms and Armor,North America,Steel and wood,21 5/8 x 8 x 1 1/8 in. (54.93 x 20.32 x 2.86 cm),Gift of Rev. E. W. J. Lindesmith to the University of Notre Dame by transfer,Public domain,1805,North America,
"Working in the Soil, the LBJ Presidential Library, Austin, Texas",https://marble.nd.edu/item/2011.045.025,Alan Pogue American 1946,1972,Photographs,"Austin, North America, United States, Travis, Texas",Gelatin silver print,10 x 8 in. (25.4 x 20.3 cm),Gift of Gilberto Cárdenas,Copyright,1972,North America,United States
Chelsea Hans Sloane Botanical Soup Plate,https://marble.nd.edu/item/2012.044,Chelsea Porcelain Manufactory British active 1745 1784,ca. 1753-1755,Decorative Arts,"Europe, United Kingdom",Soft-paste porcelain,1 3/8 x 9 1/8 x 9 1/8 in. (3.49 x 23.18 x 23.18 cm),Virginia A. Marten Endowment for Decorative Arts,Public domain,1753,Europe,United Kingdom
Portrait of Augustin Desiré Pajou,https://marble.nd.edu/item/2011.024.002,JacquesAugustin Pajou French 1766 1828,1819,Paintings,"Europe, France",Oil on canvas,27 3/8 x 23 5/8 x 3 in. (69.53 x 60.01 x 7.62 cm),"Bequest of Dr. Paul J. Vignos Jr., ND ’41 and Edith Ingalls Vignos",Public domain,1819,Europe,France
#3 SCENES FROM A MARRIAGE GARTH + LISA,https://marble.nd.edu/item/2012.098,Donna Ferrato American b 1949,1982,Photographs,,Gelatin silver print,24 x 20 in. (60.96 x 50.8 cm),"Gift of Douglas Wetmore, ND ’79",Copyright,1982,,
Stick House,https://marble.nd.edu/item/2011.030.006,James Lavadour Native American b 1951,2002,Prints,,Color lithograph on paper,22 1/2 x 30 1/4 in. (57.15 x 76.84 cm),Humana Foundation Endowment,Copyright,2002,,
The Last Man to Die,https://marble.nd.edu/item/2013.023.002,Robert Capa American born in Hungary 1913 1954,1945,Photographs,"Europe, Germany, Leipzig, Saxony",Gelatin silver print,10 x 8 1/8 in. (25.4 x 20.7 cm),Milly and Fritz Kaeser Endowment for Photography,Copyright,1945,Europe,Germany
"View of a Garden with High Walls, Steps, and Sculpture in Niches",https://marble.nd.edu/item/2013.039.006,JeanHonor Fragonard French 1732 1806,ca. 1773,Drawings,,Black chalk on blue-gray laid paper,6 3/8 x 8 1/4 in. (16.19 x 20.96 cm),"Gift of John D. Reilly, ND '63, '64",Public domain,1773,,
Palabras de Arena [Words of Sand],https://marble.nd.edu/item/2014.024.002,Claudia Bernardi Argentine b 1955,2013,Prints,"Berkeley, North America, United States, Alameda, California",Etching and acquatint on white wove paper,24 x 18 in. (60.96 x 45.72 cm),"Gift of the Segura Arts Studio, University of Notre Dame Center for Arts & Culture",Copyright,2013,North America,United States
Seated Dancer,https://marble.nd.edu/item/2013.047.002,Raphael Soyer American 1899 1987,ca. 1950-1960,Paintings,,Oil on canvas,18 1/8 x 13 1/8 in. (46.04 x 33.34 cm),"Gift of the estate of Mr. Allan J. Riley, ND ’57 in honor of Stanley Epstein",Copyright,1950,,
Native American Pot,https://marble.nd.edu/item/2013.036.004,Unrecorded artist,,Vessels,"North America, United States",Polychrome on ceramic,10 3/4 in. (27.31 cm),"Gift of the Bernard Hank, ND '51 Estate",Public domain,,North America,United States
"The Body of Dr. Martin Luther King, Jr., on the Balcony of the Lorraine Motel, Memphis",https://marble.nd.edu/item/2014.047.001,Joseph Louw South African 1945 2004,4-Apr-68,Photographs,"Memphis, North America, United States, Shelby, Tennessee",Gelatin silver print from wire photograph,7 x 8 3/4 in. (17.8 x 22.2 cm),Milly and Fritz Kaeser Endowment for Photography,Copyright,1968,North America,United States
An Egyptian Mameluke Defending a Wounded French Trumpeter at Waterloo,https://marble.nd.edu/item/2014.032.001,Thodore Gricault French 1791 1824,1818,Prints,"Europe, France",Lithograph on wove paper,13 1/2 x 11 in. (34.29 x 27.78 cm),"Anonymous, Charles and Barbara Driscoll, ND ’63, Mr. and Mrs. Robert S. Nanovic, ND ’54, and Rebecca Nanovic Lin, ND ’87 Funds",Public domain,1818,Europe,France
Detail of the Diagorides Victors,https://marble.nd.edu/item/2014.052.005,James Barry Irish 1741 1806,1795,Prints,"Europe, Ireland",Etching and engraving in black ink on wove paper,39 7/8 x 27 1/8 in. (101.28 x 68.9 cm),Gift of William and Nancy Pressly in honor of the Stent Family,Public domain,1795,Europe,Ireland
"Sheepdog and Turf, Bloody Foreland, Donegal",https://marble.nd.edu/item/2013.041.002,Alen MacWeeney Irish b 1939,1965,Photographs,"Europe, Ireland, Donegal",Gelatin silver print,12 1/2 x 12 5/8 in. (31.8 x 32.1 cm),"Gift of Douglas Wetmore, ND ’79",Copyright,1965,Europe,Ireland
"The Crucifixion of Haman, after Michelangelo",https://marble.nd.edu/item/2014.061.012,JeanRobert Ango French active 1759 1770,1767,Drawings,"Europe, Italy",Red chalk on laid paper,10 3/8 x 16 1/8 in. (26.37 x 40.97 cm),"Bequest of John D. Reilly, ND '63, '64",Public domain,1767,Europe,Italy
Model Boat,https://marble.nd.edu/item/2010.031.045,Unrecorded Duala artist,late 19th-early 20th century,Sculpture,"Africa, Cameroon","Wood, paint",12 3/4 x 48 x 8 in. (32.39 x 121.92 x 20.32 cm),Gift of Owen D. Mort Jr,Public domain,2026,Africa,Cameroon
Italian Landscape,https://marble.nd.edu/item/2014.061.058,JeanPierreLouisLaurent Hoel French 1735 1813,late 18th-early 19th century,Drawings,"Europe, Italy","Brown ink, wash and graphite on light beige wove paper",10 1/4 x 13 1/8 in. (26.04 x 33.35 cm),"Bequest of John D. Reilly, ND '63, '64",Public domain,2025,Europe,Italy
Design for the Decoration of the Facade of the Apse and Two Side Chapels of a Gothic Church,https://marble.nd.edu/item/2014.061.209,Giorgio Vasari Italian 1511 1574,1560-1570,Drawings,Europe,Pen and brown ink and brown wash over traces of black chalk on laid paper,17 5/8 x 23 3/8 in. (44.77 x 59.37 cm),"Bequest of John D. Reilly, ND '63, '64",Public domain,1565,Europe,
Study of a Young Man Running with a Bull (verso),https://marble.nd.edu/item/2014.061.233.b,Thodore Gricault French 1791 1824,ca. 1816-1817,Drawings,"Europe, France",Graphite on oatmeal wove paper,7 1/2 x 9 3/4 in. (19.05 x 24.77 cm),"Bequest of John D. Reilly, ND '63, '64",Public domain,1816,Europe,France
Head of an Old Woman,https://marble.nd.edu/item/2014.061.177,Simon Vouet French 1590 1649,before 1639,Drawings,"Europe, France","Black and white chalk on brown paper, laid down",5 1/2 x 5 in. (13.97 x 12.7 cm),"Bequest of John D. Reilly, ND '63, '64",Public domain,1639,Europe,France
"Studies of Legs, a Drapery and the Head of a Putto (recto); Studies of Arms and a Head (verso)",https://marble.nd.edu/item/2014.061.202,Nicolas Mignard French 1606 1668,ca. 1642,Drawings,,"Red, white, and black chalk on cream laid paper",16 3/8 x 11 1/8 in. (41.59 x 28.26 cm),"Bequest of John D. Reilly, ND '63, '64",Public domain,1642,,
"Figures from the ""Commedia dell'Arte""",https://marble.nd.edu/item/2014.061.070,Claude Gillot French 1673 1722,late 17th-early 18th century,Drawings,Europe,"Graphite, pen and gray and brown ink on laid paper",6 1/2 x 7 7/8 in. (16.61 x 20.09 cm),"Bequest of John D. Reilly, ND '63, '64",Public domain,2024,Europe,
Portrait of a Bearded Man,https://marble.nd.edu/item/2014.061.208,Nicolas Lagneau French active ca 1590 ca 1610,1625-1645,Drawings,,Black and red chalk with white heightening on beige laid paper,16 1/2 x 11 1/4 in. (41.91 x 28.58 cm),"Bequest of John D. Reilly, ND '63, '64",Public domain,1635,,
White Rit,https://marble.nd.edu/item/2015.078,Vanessa German American b 1976,2013,Sculpture,"Pittsburgh, North America, United States, Allegheny, Pennsylvania","Beads, fabric, nails, paint, baby doll legs, toy horse on wooden Rit Dye box",45 1/2 x 21 1/4 x 9 3/4 in. (115.57 x 53.98 x 24.77 cm),Humana Foundation Endowment,Copyright,2013,North America,United States
Ebola,https://marble.nd.edu/item/2015.053.003,Sue Coe British b 1951,2014,Prints,,Lithograph on paper,14 x 16 in. (35.56 x 40.64 cm),"Gift of the Segura Arts Studio, University of Notre Dame Center for Arts & Culture",Copyright,2014,,
"Marcel Duchamp, New York",https://marble.nd.edu/item/2016.031,Irving Penn American 1917 2009,1948,Photographs,"North America, United States",Gelatin silver print,9 7/8 x 7 3/4 in. (25.2 x 19.8 cm),Milly and Fritz Kaeser Endowment for Photography,Copyright,1948,North America,United States
"Pool in a Brook, Pond Brook near Whiteface, New Hampshire from In Wildness",https://marble.nd.edu/item/2015.047.001,Eliot Porter American 1901 1990,4-Oct-53,Photographs,"North America, United States, New Hampshire",Dye transfer print,24 x 20 1/8 in. (61 x 51 cm),Humana Foundation Endowment,Copyright,1953,North America,United States
Gitenga Muganji Mask,https://marble.nd.edu/item/2017.025.540,Unrecorded Pende artist,mid-20th century,Apparel and Adornments,"Africa, Democratic Republic of the Congo","Plant fiber, feathers, clay pigment",26 x 26 1/2 x 8 1/2 in. (66.04 x 67.31 x 21.59 cm),Bequest of Owen D. Mort Jr,Public domain,1950,Africa,Congo
Royal Armlet,https://marble.nd.edu/item/2017.025.447,Unrecorded Kuba artist,mid-20th century,Apparel and Adornments,"Africa, Democratic Republic of the Congo","Glass beads, cowrie shells, raffia palm fiber cloth and thread",14 3/4 x 6 x 3 in. (37.47 x 15.24 x 7.62 cm),Bequest of Owen D. Mort Jr,Public domain,1950,Africa,Congo
Untitled from 12 Rayographs,https://marble.nd.edu/item/2017.041.001,Man Ray aka Emmanuel Radnitzky American 1890 1976,1924,Photographs,,Gelatin silver print,15 1/2 x 12 1/4 in. (39.4 x 31 cm),Milly and Fritz Kaesar Endowment for Photography,Copyright,1924,,
Untitled,https://marble.nd.edu/item/2017.042.002,Jerry N Uelsmann American b 1934,1969,Photographs,,Gelatin silver print,20 x 16 in. (50.8 x 40.7 cm),Milly and Fritz Kaeser Endowment for Photography,Copyright,1969,,
A Grecian Harvest Home,https://marble.nd.edu/item/2015.001.014,James Barry Irish 1741 1806,1792,Prints,,Etching and engraving in black ink on laid paper,17 5/8 x 21 in. (44.77 x 53.18 cm),Terry and Margaret Stent Fund,Public domain,1792,,
"Plate 1, from the series A Harlot's Progress",https://marble.nd.edu/item/2017.052.010.001,William Hogarth British 1697 1764,1732; 2nd edition 1744,Prints,Europe,Etching and engraving on wove paper,17 1/8 x 22 3/8 in. (43.5 x 56.83 cm),Gift of the Donald and Marilyn Keough Foundation,Public domain,1732,Europe,
Shorn,https://marble.nd.edu/item/2018.040.001,Alison Saar American b 1956,2014,Prints,North America,Woodcut,32 x 19 in. (81.28 x 48.26 cm),Walter R. Beardsley Endowment for Contemporary Art,Copyright,2014,North America,
Kinich Ahau (Sun God) Architectural Ornament,https://marble.nd.edu/item/2016.056,Unrecorded Maya artist,500 - 900,Architectural Elements,"North America, Central America, Guatemala or Mexico",Stucco with paint traces,14 1/2 x 11 x 9 1/4 in. (36.83 x 27.94 x 23.5 cm),Gift of James W. and Marilynn B. Alsdorf,Public domain,700,North America,Guatemala
"Eagle Point, Dubuque, Iowa",https://marble.nd.edu/item/2018.037,Henry Peter Bosse American 1844 1903,1885,Photographs,"Dubuque, North America, United States, Dubuque, Iowa",Cyanotype from wet collodion negative,14 1/2 x 17 1/4 in. (36.7 x 43.7 cm),Mr. and Mrs. Raymond T. Duncan Endowment for American Art,Public domain,1885,North America,United States
Boy and Owl,https://marble.nd.edu/item/2019.016.091,Jim Dine American b 1935,2000,Prints,,"Etching, soft ground etching, drypoint, and collograph on Hahnemuhle Bright White with cut edges",62 1/2 x 39 7/8 in. (158.75 x 101.28 cm),Gift of Jim Dine in honor of Joseph Becherer,Copyright,2000,,
A Light One on Top,https://marble.nd.edu/item/2019.016.061,Jim Dine American b 1935,2006,Prints,,Jing-saw relief and intaglio on Arches cover,60 1/4 x 76 1/8 x 2 5/8 in. (153.04 x 193.36 x 6.67 cm),Gift of Jim Dine in honor of Joseph Becherer,Copyright,2006,,
Vegetables [6],https://marble.nd.edu/item/2019.016.117.006,Jim Dine American b 1935,1969,Prints,,Lithographs and collaged images,17 3/4 x 15 7/8 in. (45.09 x 40.32 cm),Gift of Jim Dine in honor of Joseph Becherer,Copyright,1969,,
Hammers on Grey,https://marble.nd.edu/item/2019.016.130,Jim Dine American b 1935,1969-1970,Prints,,Lithograph,25 1/2 x 37 in. (64.77 x 93.98 cm),Gift of Jim Dine in honor of Joseph Becherer,Copyright,1969,,
Nine Views of Winter (9),https://marble.nd.edu/item/2019.016.206,Jim Dine American b 1935,1985,Prints,,Three color woodcut on buff Arches,52 1/2 x 37 1/8 in. (133.35 x 94.3 cm),Gift of Jim Dine in honor of Joseph Becherer,Copyright,1985,,
[ ] Various Martial Moves,https://marble.nd.edu/item/2019.016.157.001,Jim Dine American b 1935,2009,Prints,,Composite five color lithographs on white Rives BFK,36 1/8 x 26 in. (91.76 x 66.04 cm),Gift of Jim Dine in honor of Joseph Becherer,Copyright,2009,,
Fort Sumter,https://marble.nd.edu/item/2018.047.030.001,Julius Bien German 1829 1909,1861,Prints,North America,Lithograph on wove paper,in. (cm),"Gift of Marifred, ND '66, and Salvatore Cilella, ND '63, '66",Public domain,1861,North America,
Tools in a Puzzled Vessel (Five),https://marble.nd.edu/item/2019.016.243,Jim Dine American b 1935,2017,Prints,,"Woodcut, etching, lithograph mechanical abrasion and hand coloring on Arches vellum 300g",72 7/8 x 52 in. (185.1 x 132.08 cm),Gift of Jim Dine in honor of Joseph Becherer,Copyright,2017,,
Pipe Bag,https://marble.nd.edu/item/2019.017.017,Unrecorded Sioux artist,,Apparel and Adornments,,"Leather, beadwork",in. (cm),Gift of Jerry Cooper,Public domain,,,
Child's Vest,https://marble.nd.edu/item/2019.017.033,aka Unidentified Indigenous Americas Artist,,Apparel and Adornments,,"Cloth, beads, sequins",in. (cm),Gift of Jerry Cooper,Public domain,,,
Bag,https://marble.nd.edu/item/2019.017.018,Unrecorded Sioux artist,,Apparel and Adornments,,"Leather, beadwork",in. (cm),Gift of Jerry Cooper,Public domain,,,
[ ] from Winter Dream (For V) Portfolio,https://marble.nd.edu/item/2019.016.247.002,Jim Dine American b 1935,1995,Prints,,Woodcut on recycled grey blotter paper,67 x 51 1/4 in. (170.18 x 130.18 cm),Gift of Jim Dine in honor of Joseph Becherer,Copyright,1995,,
Child's Vest,https://marble.nd.edu/item/2019.017.040,Unrecorded Sioux artist,,Apparel and Adornments,,"Cloth, ;eather, beading, metal button",in. (cm),Gift of Jerry Cooper,Public domain,,,
Four Seasons - Winter,https://marble.nd.edu/item/2019.018.016.001,Currier Ives American active 1834 1907,1868 - 1869,Prints,"North America, United States, New York",Hand-colored lithograph on wove paper,9 7/8 x 13 7/8 in. (25.08 x 35.24 cm),"Gift of Marifred, ND '66, and Salvatore Cilella, ND '63, '66",Public domain,1868,North America,United States
Pretty is...a Little Black Girl,https://marble.nd.edu/item/2019.028.031,Beverly McIver American b 1962,2002,Prints,,Color lithograph,38 x 27 in. (96.52 x 68.58 cm),"Gift of the Segura Arts Studio, University of Notre Dame Center for Arts & Culture",Copyright,2002,,
Outbreak [Losbruch] from Peasants’ War [Bauernkrieg],https://marble.nd.edu/item/2019.021,Kthe Kollwitz German 1867 1945,1906; restrike,Prints,,Etching,in. (cm),"Transfer from McKenna Hall Collection, University of Notre Dame",Public domain,1906,,
Spiritus Sanctus,https://marble.nd.edu/item/2019.028.050,Daniel Martin Diaz Mexican American b 1967,2003,Prints,,Color lithograph,30 1/8 x 22 3/8 in. (76.52 x 56.83 cm),"Gift of the Segura Arts Studio, University of Notre Dame Center for Arts & Culture",Copyright,2003,,
Conclusus IV,https://marble.nd.edu/item/2019.028.068,Frances Whitehead American b ca 1953,1992,Prints,,Color litho with shellac,24 7/8 x 37 in. (63.18 x 93.98 cm),"Gift of the Segura Arts Studio, University of Notre Dame Center for Arts & Culture",Copyright,1992,,
"Plates 10, 11, 12, and 13 from Various Facial Types: Part One [Fisonomie Possibli: Parte Prima]",https://marble.nd.edu/item/2020.003.004,Benigno Bossi Italian 1727 1792,1775 - 1776,Prints,"Europe, Italy",Etching on laid paper,19 1/2 x 12 7/8 in. (49.53 x 32.7 cm),"Rebecca Nanovic Lin, ND '87 Fund",Public domain,1775,Europe,Italy
"Plates 2, 3, 4, and 5 from Various Facial Types: Part One [Fisonomie Possibli: Parte Prima]",https://marble.nd.edu/item/2020.003.002,Benigno Bossi Italian 1727 1792,1775 - 1776,Prints,"Europe, Italy",Etching on laid paper,19 3/4 x 13 1/4 in. (50.17 x 33.66 cm),"Rebecca Nanovic Lin, ND '87 Fund",Public domain,1775,Europe,Italy
You Are Here,https://marble.nd.edu/item/2019.028.064.005,Enrique Chagoya American b 1953 Alberto Rios,2000,Prints,,Color lithograph and rubber stamp,17 1/8 x 17 1/8 in. (43.5 x 43.5 cm),"Gift of the Segura Arts Studio, University of Notre Dame Center for Arts & Culture",Copyright,2000,,
Oscar Wilde,https://marble.nd.edu/item/2020.012,Napoleon Sarony American 1821 1896,1882,Photographs,,"Albumen print from wet collodion negative, mounted as boudoir print",11 7/8 x 7 1/4 in. (30.1 x 18.5 cm),Milly and Fritz Kaeser Endowment for Photography,Public domain,1882,,
In Memory of George Washington and Martha Washington,https://marble.nd.edu/item/2020.019.011,Samuel Seymour American active 1797 1822 John Trumbull American 1756 1843,1804,Prints,"North America, United States, Pennsylvania",Stipple engraving,16 1/2 x 20 1/2 in. (41.91 x 52.07 cm),"Gift of Marifred, ND '66, and Salvatore Cilella, ND '63, '66",Public domain,1804,North America,United States
"Horn Pond and Environs of Boston, after Joseph Foxcroft Cole",https://marble.nd.edu/item/2020.019.002,Freeman Richardson American Joseph Foxcroft Cole American 1837 1892,1863,Prints,"North America, United States, Massachusetts",Color lithograph on wove paper laid down on card,20 1/2 x 27 in. (52.07 x 68.58 cm),"Gift of Marifred, ND '66, and Salvatore Cilella, ND '63, '66",Public domain,1863,North America,United States
Lid [Covered Bowl and Stand],https://marble.nd.edu/item/2021.004.a,Svres Porcelain Manufactory French active 1756 present,1766,Decorative Arts,"Europe, France",Soft-paste porcelain,2 3/4 x 5 1/4 x 5 1/4 in. (6.99 x 13.34 x 13.34 cm),Virginia A. Marten Endowment for Decorative Arts,Public domain,1766,Europe,France
